susceptibility,symptom_risk,hospitalisation_risk,death_risk
0.6109,0.0676,0.0169114689213529,0.00170101310922498
0.3537,0.0152,0.0164169815259917,0.00119070917645748
0.3998,0.0213,0.00919746555371827,0.0161596245376373
0.4318,0.0262,0.00741731093041796,0.00884526816796988
0.6081,0.0668,0.00593384874433437,0.0102060786553499
0.7004,0.0982,0.00415369412103406,0.0214327651762347
0.7152,0.1039,0.00623054118155108,0.0199018533779322
0.6895,0.0941,0.00890077311650155,0.0214327651762347
0.7075,0.1009,0.0118676974886687,0.0319790464534296
0.766,0.1253,0.0160213916097028,0.035551173982802
0.8963,0.1925,0.016120289088775,0.0542623181842768
1.0018,0.2607,0.0153291092561971,0.0966175446039787
1.0455,0.2929,0.020669573126098,0.166529183393125
1.307,0.5387,0.0244276773308431,0.15666330735962
1.387,0.6334,0.0240320874145542,0.281177466954889
1.3056,0.5371,0.0257133445587823,0.38544957055038
1.4357,0.696,0.0279879865774438,0.445495333306022
1.5476,0.8541,0.0261089344750712,0.59110205545568
1.5698,0.888,0.0227464201866151,0.983355678442959
1.5229,0.8174,0.0191861109400145,1
1.5776,0.9,0.0191861109400145,1
