susceptibility,symptom_risk,hospitalisation_risk,death_risk
0.6109,0.0676,0.00345433576553965,0.000253081383458386
0.3537,0.0152,0.00335333179578702,0.00017715696842087
0.3998,0.0213,0.00187867383739875,0.00240427314285467
0.4318,0.0262,0.00151505954628932,0.00131602319398361
0.6081,0.0668,0.00121204763703145,0.00151848830075032
0.7004,0.0982,0.000848433345922018,0.00318882543157567
0.7152,0.1039,0.00127265001888303,0.00296105218646312
0.6895,0.0941,0.00181807145554718,0.00318882543157567
0.7075,0.1009,0.00242409527406291,0.00475793000901766
0.766,0.1253,0.00327252861998493,0.00528940091428027
0.8963,0.1925,0.00329272941393545,0.00807329613232252
1.0018,0.2607,0.00313112306233126,0.0143750225804363
1.0455,0.2929,0.00422196593565957,0.024776667440576
1.307,0.5387,0.00498959610577949,0.0233087954165174
1.387,0.6334,0.00490879292997739,0.0418343526856712
1.3056,0.5371,0.0052522064271363,0.0573482414916703
1.4357,0.696,0.00571682468799836,0.0662820143277514
1.5476,0.8541,0.0053330096029384,0.0879457807517892
1.5698,0.888,0.00464618260862058,0.146306347777293
1.5229,0.8174,0.0039189540264017,0.240832244499
1.5776,0.9,0.0039189540264017,0.20142747309453
