susceptibility,symptom_risk,hospitalisation_risk,death_risk
0.6109,0.0676,0.282986270049362,0.00449060125747874
0.3537,0.0152,0.274711817708738,0.00314342088023512
0.3998,0.0213,0.153904813535618,0.042660711946048
0.4318,0.0262,0.124116785109369,0.0233511265388894
0.6081,0.0668,0.0992934280874955,0.0269436075448724
0.7004,0.0982,0.0695053996612468,0.0565815758442321
0.7152,0.1039,0.10425809949187,0.0525400347125013
0.6895,0.0941,0.148940142131243,0.0565815758442321
0.7075,0.1009,0.198586856174991,0.0844233036406003
0.766,0.1253,0.268092255836238,0.0938535662813057
0.8963,0.1925,0.269747146304363,0.143250180113572
1.0018,0.2607,0.256508022559363,0.255066151424792
1.0455,0.2929,0.345872107838109,0.439629863107169
1.307,0.5387,0.408757945626856,0.413584375813792
1.387,0.6334,0.402138383754357,0.742296387861236
1.3056,0.5371,0.43027152171248,1
1.4357,0.696,0.468334002479354,1
1.5476,0.8541,0.43689108358498,1
1.5698,0.888,0.380624807668733,1
1.5229,0.8174,0.321048750816235,1
1.5776,0.9,0.321048750816235,1
