susceptibility,symptom_risk,hospitalisation_risk,death_risk
0.6109,0.0676,0.0797341865115897,0.00287551355552773
0.3537,0.0152,0.0774027775492625,0.00201285948886941
0.3998,0.0213,0.0433642066992857,0.0273173787775134
0.4318,0.0262,0.0349711344349078,0.0149526704887442
0.6081,0.0668,0.0279769075479262,0.0172530813331664
0.7004,0.0982,0.0195838352835484,0.0362314707996494
0.7152,0.1039,0.0293757529253225,0.0336435085996744
0.6895,0.0941,0.0419653613218893,0.0362314707996494
0.7075,0.1009,0.0559538150958524,0.0540596548439213
0.766,0.1253,0.0755376503794008,0.0600982333105295
0.8963,0.1925,0.0760039321718663,0.0917288824213345
1.0018,0.2607,0.0722736778321427,0.163329169953975
1.0455,0.2929,0.0974528946252764,0.281512777086165
1.307,0.5387,0.115171602738963,0.264834798464104
1.387,0.6334,0.113306475569101,0.475322390728734
1.3056,0.5371,0.121233266041014,0.651591371682583
1.4357,0.696,0.131957747267719,0.753097000192712
1.5476,0.8541,0.123098393210875,0.999240960545886
1.5698,0.888,0.107244812267051,1
1.5229,0.8174,0.0904586677382948,1
1.5776,0.9,0.0904586677382948,1
