susceptibility,symptom_risk,hospitalisation_risk,death_risk
0.6109,0.0676,0.0582056409729239,0.00258914032487483
0.3537,0.0152,0.0565037216462302,0.00181239822741238
0.3998,0.0213,0.0316556994765025,0.0245968330863108
0.4318,0.0262,0.0255287899004052,0.0134635296893491
0.6081,0.0668,0.0204230319203242,0.015534841949249
0.7004,0.0982,0.0142961223442269,0.0326231680934228
0.7152,0.1039,0.0214441835163404,0.0302929418010355
0.6895,0.0941,0.0306345478804863,0.0326231680934228
0.7075,0.1009,0.0408460638406484,0.0486758381076467
0.766,0.1253,0.0551421861848753,0.0541130327898839
0.8963,0.1925,0.055482570050214,0.0825935763635069
1.0018,0.2607,0.0527594991275041,0.14706317045289
1.0455,0.2929,0.0711402278557959,0.253476837805245
1.307,0.5387,0.0840748147386678,0.238459823920971
1.387,0.6334,0.0827132792773129,0.427984895701809
1.3056,0.5371,0.0884998049880714,0.586699197616636
1.4357,0.696,0.0963286338908624,0.678095851084717
1.5476,0.8541,0.0898613404494264,0.899726262894002
1.5698,0.888,0.0782882890279093,1
1.5229,0.8174,0.0660344698757148,1
1.5776,0.9,0.0660344698757148,1
