Age,Female,Male
0,323.05,337.54
1,320.04,333.36
2,325.63,338.90
3,334.89,349.87
4,340.95,356.06
5,348.78,363.71
6,357.82,373.35
7,368.88,384.79
8,376.90,393.13
9,381.38,399.23
10,387.24,405.44
11,392.60,410.95
12,394.22,413.08
13,392.42,411.69
14,390.18,409.07
15,389.99,409.29
16,387.14,406.48
17,380.32,400.52
18,377.45,397.26
19,373.84,392.81
20,373.85,391.92
21,374.29,390.88
22,366.78,380.10
23,357.62,366.31
24,349.58,354.36
25,346.32,347.38
26,348.53,345.80
27,344.50,338.84
28,343.28,334.56
29,355.88,344.00
30,371.78,357.81
31,381.89,366.89
32,390.56,371.51
33,398.19,376.63
34,402.64,380.84
35,407.31,384.30
36,410.05,385.87
37,408.28,384.19
38,406.92,383.29
39,417.61,394.51
40,431.33,409.70
41,432.55,413.85
42,421.87,405.16
43,408.20,393.87
44,402.28,391.82
45,395.96,386.56
46,395.47,386.11
47,410.94,402.77
48,430.77,421.96
49,446.38,437.35
50,450.57,442.91
51,441.03,433.07
52,429.94,419.68
53,424.28,410.56
54,421.20,405.84
55,424.91,408.94
56,429.79,412.16
57,432.58,412.30
58,433.69,410.09
59,425.09,399.43
60,417.85,391.14
61,416.59,387.75
62,414.41,382.11
63,411.04,374.75
64,406.94,367.94
65,404.57,362.47
66,401.27,355.71
67,397.49,350.97
68,393.03,346.06
69,393.28,343.96
70,392.86,341.40
71,393.35,339.65
72,394.11,337.54
73,388.94,330.70
74,380.90,321.57
75,364.97,303.43
76,309.82,252.62
77,261.45,209.40
78,252.07,199.08
79,236.27,184.36
80,212.86,162.28
81,202.96,149.84
82,209.41,148.97
83,208.44,142.88
84,199.26,131.85
85,191.02,121.05
86,181.60,108.51
87,171.26,96.56
88,158.47,84.30
89,145.81,72.76
90,133.00,62.27
91,117.56,51.24
92,99.66,40.18
93,82.16,30.60
94,67.49,23.14
95,54.35,17.06
96,42.76,12.26
97,32.05,8.35
98,23.32,5.51
99,16.55,3.55
100+,26.06,4.66
