Age,Female,Male
0,330.03,347.93
1,331.61,349.59
2,341.11,359.59
3,356.31,375.68
4,370.66,390.61
5,384.66,405.18
6,392.42,413.48
7,394.91,416.11
8,397.78,418.69
9,406.82,427.55
10,413.68,434.20
11,412.10,432.58
12,407.48,428.38
13,404.53,425.59
14,400.53,421.81
15,390.91,411.55
16,380.40,399.98
17,372.89,392.53
18,367.14,386.97
19,360.04,379.89
20,359.50,379.71
21,368.04,389.25
22,382.26,404.90
23,398.28,421.47
24,409.91,434.21
25,417.40,443.78
26,422.04,448.16
27,427.57,450.83
28,435.07,455.56
29,443.84,460.89
30,453.28,467.40
31,457.54,471.26
32,454.28,465.36
33,453.08,457.55
34,454.60,451.38
35,451.60,443.91
36,450.29,443.38
37,448.43,441.85
38,444.63,435.99
39,444.20,433.41
40,445.65,434.11
41,448.77,438.63
42,444.07,435.99
43,423.80,417.72
44,401.99,396.88
45,395.17,389.15
46,399.42,391.65
47,407.31,398.27
48,417.98,408.01
49,432.59,421.44
50,452.64,439.24
51,462.18,445.88
52,461.67,444.31
53,465.21,448.31
54,468.13,451.90
55,468.87,453.20
56,471.42,453.96
57,473.80,454.25
58,468.15,448.07
59,457.40,438.42
60,445.32,427.97
61,430.76,413.36
62,415.15,397.17
63,402.90,384.22
64,392.02,373.14
65,378.22,359.12
66,362.53,342.54
67,351.68,330.01
68,347.77,324.44
69,340.87,315.97
70,333.07,306.56
71,331.51,303.46
72,335.83,305.80
73,344.06,312.13
74,357.53,322.99
75,347.92,311.61
76,308.63,272.84
77,281.16,245.00
78,267.67,229.70
79,246.32,207.32
80,219.50,180.14
81,200.88,160.78
82,192.81,151.63
83,185.91,143.69
84,174.38,131.86
85,159.57,117.36
86,144.64,103.05
87,129.44,89.20
88,114.21,75.91
89,100.96,64.42
90,88.89,54.09
91,76.48,44.14
92,64.20,35.09
93,52.70,27.50
94,42.28,21.02
95,33.60,15.56
96,26.21,11.17
97,19.74,7.71
98,14.47,5.15
99,10.37,3.36
100+,18.28,4.79
